Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","22pF","C_0603_1608Metric",144.526000,-63.500000,315.000000,top
"C2","22pF","C_0603_1608Metric",146.812000,-65.786000,315.000000,top
"C3","0.1uF","C_0603_1608Metric",137.020300,-74.879200,315.000000,top
"C4","1uF","C_0603_1608Metric",144.780000,-72.898000,225.000000,top
"C5","1uF","C_0603_1608Metric",132.918200,-68.453000,45.000000,top
"C6","10uF","C_0805_2012Metric",126.238000,-57.404000,0.000000,top
"C7","10uF","C_0805_2012Metric",113.284000,-57.404000,0.000000,top
"C8","10uF","C_0805_2012Metric",138.684000,-57.150000,0.000000,top
"C9","10uF","C_0805_2012Metric",151.384000,-57.404000,0.000000,top
"D1","BLUE","D_0603_1608Metric",123.000000,-62.500000,90.000000,top
"D2","BLUE","D_0603_1608Metric",120.500000,-62.500000,90.000000,top
"D3","BLUE","D_0603_1608Metric",153.000000,-79.000000,180.000000,top
"D4","BLUE","D_0603_1608Metric",118.000000,-62.500000,90.000000,top
"D5","BLUE","D_0603_1608Metric",125.500000,-62.500000,90.000000,top
"D6","BLUE","D_0603_1608Metric",128.000000,-62.500000,90.000000,top
"F1","100mA","Fuse_0603_1608Metric",165.481000,-71.818500,0.000000,top
"Q1","BSS138","SOT-23",163.322000,-64.653200,180.000000,top
"Q2","BSS138","SOT-23",163.322000,-68.326000,180.000000,top
"R1","22","R_0603_1608Metric",165.519100,-74.383900,0.000000,top
"R2","22","R_0603_1608Metric",165.481000,-76.911200,0.000000,top
"R3","10K","R_0603_1608Metric",149.352000,-72.136000,270.000000,top
"R4","330","R_0603_1608Metric",123.000000,-65.900000,270.000000,top
"R5","330","R_0603_1608Metric",120.500000,-65.900000,270.000000,top
"R6","330","R_0603_1608Metric",118.000000,-65.900000,270.000000,top
"R7","500","R_0603_1608Metric",165.379400,-61.633100,180.000000,top
"R8","1K","R_0603_1608Metric",158.242000,-64.516000,270.000000,top
"R9","500","R_0603_1608Metric",166.116000,-64.516000,270.000000,top
"R10","1K","R_0603_1608Metric",158.242000,-68.326000,270.000000,top
"R11","500","R_0603_1608Metric",166.116000,-67.564000,270.000000,top
"R12","10K","R_0603_1608Metric",160.274000,-64.516000,270.000000,top
"R13","10K","R_0603_1608Metric",115.132900,-69.596000,180.000000,top
"R14","10K","R_0603_1608Metric",114.726500,-62.043200,180.000000,top
"R15","500","R_0603_1608Metric",115.062000,-79.756000,0.000000,top
"R16","500","R_0603_1608Metric",114.878900,-77.216000,180.000000,top
"R17","500","R_0603_1608Metric",157.734000,-57.912000,270.000000,top
"R18","500","R_0603_1608Metric",160.274000,-57.912000,90.000000,top
"R19","500","R_0603_1608Metric",106.934000,-57.912000,270.000000,top
"R20","500","R_0603_1608Metric",109.728000,-57.912000,90.000000,top
"R21","500","R_0603_1608Metric",119.888000,-57.912000,270.000000,top
"R22","500","R_0603_1608Metric",122.174000,-57.912000,90.000000,top
"R23","500","R_0603_1608Metric",132.334000,-57.912000,270.000000,top
"R24","500","R_0603_1608Metric",134.874000,-57.975500,90.000000,top
"R25","500","R_0603_1608Metric",142.222800,-57.975500,270.000000,top
"R26","500","R_0603_1608Metric",144.762800,-57.975500,90.000000,top
"R27","500","R_0603_1608Metric",170.434000,-57.950100,270.000000,top
"R28","500","R_0603_1608Metric",172.974000,-57.912000,90.000000,top
"R29","10K","R_0603_1608Metric",160.274000,-68.326000,270.000000,top
"R30","500","R_0603_1608Metric",115.062000,-72.390000,180.000000,top
"R31","330","R_0603_1608Metric",125.500000,-65.900000,270.000000,top
"R32","330","R_0603_1608Metric",156.311600,-78.994000,0.000000,top
"R33","330","R_0603_1608Metric",128.000000,-65.900000,270.000000,top
"U1","ATmega32U4-MU","QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm",139.979400,-68.592700,135.000000,top
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",147.750000,-62.800000,135.000000,top
